Date,Vehicle Count
22-01-2019,17017
22-01-2020,22329
22-02-2019,19511
22-02-2020,21906
22-03-2019,20631
22-03-2020,13914
22-04-2019,11632
22-04-2020,12713
22-05-2019,20652
22-05-2020,17762
22-06-2019,20066
22-07-2019,20792
22-08-2019,22965
22-09-2019,16816
22-10-2019,23209
22-11-2019,24571
22-12-2019,18019
23-01-2019,17725
23-01-2020,22713
23-02-2019,16988
23-02-2020,16951
23-03-2019,17781
23-03-2020,19178
23-04-2019,17900
23-04-2020,13032
23-05-2019,21314
23-05-2020,14665
23-06-2019,15211
23-07-2019,21266
23-08-2019,23449
23-09-2019,21884
23-10-2019,23131
23-11-2019,22484
23-12-2019,23367
24-01-2019,17381
24-01-2020,23144
24-02-2019,13162
24-02-2020,21792
24-03-2019,11404
24-03-2020,17567
24-04-2019,19567
24-04-2020,13843
24-05-2019,21872
24-05-2020,11561
24-06-2019,19775
24-07-2019,22246
24-08-2019,20942
24-09-2019,23718
24-10-2019,22380
24-11-2019,17563
24-12-2019,23711
25-01-2019,17489
25-01-2020,20169
25-02-2019,17034
25-02-2020,21854
25-03-2019,19018
25-03-2020,16825
25-04-2019,13071
25-04-2020,10084
25-05-2019,20001
25-05-2020,14372
25-06-2019,21298
25-07-2019,22109
25-08-2019,16454
25-09-2019,24123
25-10-2019,23339
25-11-2019,22653
25-12-2019,12669
26-01-2019,11102
26-01-2020,14524
26-02-2019,18679
26-02-2020,23476
26-03-2019,20141
26-03-2020,16560
26-04-2019,20392
26-04-2020,6662
26-05-2019,14754
26-05-2020,5480
26-06-2019,21935
26-07-2019,22736
26-08-2019,21335
26-09-2019,24423
26-10-2019,22285
26-11-2019,23676
26-12-2019,13403
27-01-2019,6702
27-01-2020,13143
27-02-2019,19543
27-02-2020,23386
27-03-2019,20088
27-03-2020,16512
27-04-2019,18846
27-04-2020,12013
27-05-2019,20477
27-06-2019,21598
27-07-2019,20612
27-08-2019,22323
27-09-2019,17012
27-10-2019,16157
27-11-2019,23935
27-12-2019,21105
28-01-2019,7163
28-01-2020,20881
28-02-2019,19569
28-02-2020,23530
28-03-2019,19911
28-03-2020,12713
28-04-2019,14358
28-04-2020,12564
28-05-2019,22112
28-06-2019,22342
28-07-2019,16266
28-08-2019,22899
28-09-2019,19676
28-10-2019,21583
28-11-2019,24029
28-12-2019,19493
29-01-2019,16530
29-01-2020,22278
29-02-2020,20565
29-03-2019,20551
29-03-2020,7643
29-04-2019,19448
29-04-2020,12648
29-05-2019,21541
29-06-2019,19637
29-07-2019,20981
29-08-2019,23502
29-09-2019,17774
29-10-2019,22429
29-11-2019,23871
29-12-2019,16993
30-01-2019,17494
30-01-2020,22162
30-03-2019,18600
30-03-2020,13002
30-04-2019,19351
30-04-2020,12646
30-05-2019,22341
30-06-2019,15428
30-07-2019,22035
30-08-2019,23794
30-09-2019,22349
30-10-2019,22847
30-11-2019,21695
30-12-2019,19287
31-01-2019,17187
31-01-2020,22277
31-03-2019,14037
31-03-2020,13833
31-05-2019,21564
31-07-2019,22436
31-08-2019,22123
31-10-2019,23824
31-12-2019,20052
